tid_min;abs
0;0.081
0.5;0.097
1.0;0.112
15;0.151
2.0;0.149
2.5;0.169
3.0;0.188
3.5;0.209
4.0;0.227
45;0.248
5.0;0.270
5.5;0.290
6.0;0.313
6.5;0.334
7.0;0.356
7.5;0.378
8.0;0.401
8.5;0.421
9.0;0.446
9.5;0.471
10.0;0.501
10.5;0.518
11.0;0.544
11.5;0.565
12.0;0.592
12.5;0.615
13.0;0.638
13.5;0.664
14.0;0.690
14.5;0.715
15.0;0.738
15.5;0.765
16.0;0.792
