tid_min;abs
0;0.010
0.5;0.029
1.0;0.048
1.5;0.067
2.0;0.085
2.5;0.102
3.0;0.119
3.5;0.136
4.0;0.151
4.5;0.168
5.0;0.183
5.5;0.198
6.0;0.211
6.5;0.225
7.0;0.238
7.5;0.248
8.0;0.259
8.5;0.268
9.0;0.280
9.5;0.290
10.0;0.302
10.5;0.310
11.0;0.320
11.5;0.329
12.0;0.336
