tid_min;abs
0;0.010
0.5;0.039
1.0;0.065
1.5;0.092
2.0;0.121
2.5;0.148
3.0;0.176
3.5;0.204
4.0;0.233
4.5;0.261
5.0;0.291
5.5;0.318
6.0;0.348
6.5;0.377
7.0;0.406
7.5;0.434
8.0;0.459
8.5;0.489
9.0;0.517
9.5;0.546
10.0;0.574
10.5;0.603
11.0;0.630
11.5;0.656
12.0;0.684
