tid_min;abs
0;0.004
0.5;0.023
1.0;0.044
1.5;0.064
2.0;0.085
2.5;0.105
3.0;0.124
3.5;0.144
4.0;0.163
4.5;0.181
5.0;0.201
5.5;0.218
6.0;0.235
6.5;0.251
7.0;0.270
7.5;0.285
8.0;0.301
8.5;0.315
9.0;0.330
9.5;0.344
10.0;0.358
10.5;0.372
11.0;0.385
11.5;0.397
12.0;0.409
