tid_min;abs
0;0.050
0.5;0.057
1.0;0.062
15;0.068
2.0;0.075
2.5;0.081
3.0;0.087
3.5;0.094
4.0;0.101
45;0.108
5.0;0.115
5.5;0.123
6.0;0.130
6.5;0.137
7.0;0.144
7.5;0.152
8.0;0.159
8.5;0.167
9.0;0.173
9.5;0.180
10.0;0.189
10.5;0.198
11.0;0.206
11.5;0.215
12.0;0.221
12.5;0.231
13.0;0.239
13.5;0.245
14.0;0.254
14.5;0.262
15.0;0.272
15.5;0.279
16.0;0.288
