tid_min;abs
0;0.049
0.5;0.062
1.0;0.075
15;0.088
2.0;0.102
2.5;0.117
3.0;0.132
3.5;0.148
4.0;0.163
45;0.178
5.0;0.194
5.5;0.210
6.0;0.227
6.5;0.244
7.0;0.262
7.5;0.279
8.0;0.297
8.5;0.317
9.0;0.331
9.5;0.349
10.0;0.369
10.5;0.386
11.0;0.407
11.5;0.427
12.0;0.443
12.5;0.462
13.0;0.482
13.5;0.500
14.0;0.519
14.5;0.539
15.0;0.558
15.5;0.578
16.0;0.596
