tid_min;abs
0;0.039
0.5;0.048
1.0;0.059
15;0.068
2.0;0.079
2.5;0.090
3.0;0.101
3.5;0.112
4.0;0.123
45;0.134
5.0;0.146
5.5;0.159
6.0;0.171
6.5;0.183
7.0;0.202
7.5;0.210
8.0;0.223
8.5;0.232
9.0;0.244
9.5;0.261
10.0;0.273
10.5;0.288
11.0;0.303
11.5;0.318
12.0;0.331
12.5;0.346
13.0;0.357
13.5;0.371
14.0;0.383
14.5;0.396
15.0;0.416
15.5;0.424
16.0;0.440
