tid_min;abs
0;0.050
0.5;0.080
1.0;0.108
1.5;0.141
2.0;0.171
2.5;0.204
3.0;0.237
3.5;0.271
4.0;0.305
4.5;0.338
5.0;0.373
5.5;0.412
6.0;0.443
6.5;0.480
7.0;0.514
7.5;0.551
8.0;0.586
8.5;0.625
9.0;0.662
9.5;0.698
10.0;0.735
10.5;0.774
11.0;0.812
11.5;0.849
12.0;0.882
