tid_min;abs
0;0.027
0.5;0.051
1.0;0.075
1.5;0.101
2.0;0.125
2.5;0.151
3.0;0.178
3.5;0.203
4.0;0.231
4.5;0.253
5.0;0.279
5.5;0.305
6.0;0.328
6.5;0.354
7.0;0.378
7.5;0.402
8.0;0.424
8.5;0.447
9.0;0.472
9.5;0.492
10.0;0.516
10.5;0.536
11.0;0.560
11.5;0.581
12.0;0.600
